DAY,DATE,STEPS
Friday,4/1/2022,13754
Saturday,4/2/2022,9910
Sunday,4/3/2022,6658
Monday,4/4/2022,14198
Tuesday,4/5/2022,10204
Wednesday,4/6/2022,7197
Thursday,4/7/2022,11067
Friday,4/8/2022,12982
Saturday,4/9/2022,10300
Sunday,4/10/2022,11732
Monday,4/11/2022,7529
Tuesday,4/12/2022,14254
Wednesday,4/13/2022,7053
Thursday,4/14/2022,9498
Friday,4/15/2022,6771
Saturday,4/16/2022,14685
Sunday,4/17/2022,11814
Monday,4/18/2022,8148
Tuesday,4/19/2022,8542
Wednesday,4/20/2022,3843
Thursday,4/21/2022,5370
Friday,4/22/2022,14385
Saturday,4/23/2022,21346
Sunday,4/24/2022,12828
Monday,4/25/2022,10302
Tuesday,4/26/2022,8317
Wednesday,4/27/2022,11146
Thursday,4/28/2022,7834
Friday,4/29/2022,10995
Saturday,4/30/2022,17635
