DECEMBER,,
DAY,DATE,STEPS
Wednesday,12/1/2021,7872
Thursday,12/2/2021,8102
Friday,12/3/2021,11255
Saturday,12/4/2021,13909
Sunday,12/5/2021,6593
Monday,12/6/2021,5120
Tuesday,12/7/2021,9783
Wednesday,12/8/2021,4682
Thursday,12/9/2021,6382
Friday,12/10/2021,11997
Saturday,12/11/2021,8499
Sunday,12/12/2021,13847
Monday,12/13/2021,11684
Tuesday,12/14/2021,16881
Wednesday,12/15/2021,20240
Thursday,12/16/2021,5845
Friday,12/17/2021,7035
Saturday,12/18/2021,4993
Sunday,12/19/2021,5714
Monday,12/20/2021,4438
Tuesday,12/21/2021,14690
Wednesday,12/22/2021,9175
Thursday,12/23/2021,2993
Friday,12/24/2021,10009
Saturday,12/25/2021,3076
Sunday,12/26/2021,9584
Monday,12/27/2021,6141
Tuesday,12/28/2021,5492
Wednesday,12/29/2021,10070
Thursday,12/30/2021,9994
Friday,12/31/2021,18335
