DAY,DATE,STEPS
Tuesday,2/1/2022,7779
Wednesday,2/2/2022,9245
Thursday,2/3/2022,572
Friday,2/4/2022,990
Saturday,2/5/2022,9676
Sunday,2/6/2022,8084
Monday,2/7/2022,5807
Tuesday,2/8/2022,13905
Wednesday,2/9/2022,13083
Thursday,2/10/2022,18136
Friday,2/11/2022,16783
Saturday,2/12/2022,14400
Sunday,2/13/2022,18794
Monday,2/14/2022,17325
Tuesday,2/15/2022,7737
Wednesday,2/16/2022,9978
Thursday,2/17/2022,12562
Friday,2/18/2022,2310
Saturday,2/19/2022,1066
Sunday,2/20/2022,7713
Monday,2/21/2022,16020
Tuesday,2/22/2022,8354
Wednesday,2/23/2022,13037
Thursday,2/24/2022,8203
Friday,2/25/2022,4833
Saturday,2/26/2022,4745
Sunday,2/27/2022,11782
Monday,2/28/2022,4568
