JANUARY,,
DAY,DATE,STEPS
Saturday,1/1/2022,3397
Sunday,1/2/2022,9723
Monday,1/3/2022,5313
Tuesday,1/4/2022,6154
Wednesday,1/5/2022,4333
Thursday,1/6/2022,6512
Friday,1/7/2022,7157
Saturday,1/8/2022,12502
Sunday,1/9/2022,4121
Monday,1/10/2022,10839
Tuesday,1/11/2022,2307
Wednesday,1/12/2022,8263
Thursday,1/13/2022,5990
Friday,1/14/2022,8316
Saturday,1/15/2022,3056
Sunday,1/16/2022,4275
Monday,1/17/2022,6752
Tuesday,1/18/2022,5957
Wednesday,1/19/2022,10082
Thursday,1/20/2022,5436
Friday,1/21/2022,6607
Saturday,1/22/2022,6222
Sunday,1/23/2022,3061
Monday,1/24/2022,10863
Tuesday,1/25/2022,9163
Wednesday,1/26/2022,7656
Thursday,1/27/2022,8951
Friday,1/28/2022,7510
Saturday,1/29/2022,2373
Sunday,1/30/2022,11995
Monday,1/31/2022,4195
