DAY,DATE,STEPS
Monday,11/1/2021,12643
Tuesday,11/2/2021,6958
Wednesday,11/3/2021,12126
Thursday,11/4/2021,11362
Friday,11/5/2021,6420
Saturday,11/6/2021,8297
Sunday,11/7/2021,18325
Monday,11/8/2021,8819
Tuesday,11/9/2021,9978
Wednesday,11/10/2021,5621
Thursday,11/11/2021,12539
Friday,11/12/2021,9315
Saturday,11/13/2021,17790
Sunday,11/14/2021,9671
Monday,11/15/2021,11327
Tuesday,11/16/2021,5303
Wednesday,11/17/2021,8415
Thursday,11/18/2021,12252
Friday,11/19/2021,14167
Saturday,11/20/2021,9950
Sunday,11/21/2021,8256
Monday,11/22/2021,8701
Tuesday,11/23/2021,4999
Wednesday,11/24/2021,15071
Thursday,11/25/2021,19023
Friday,11/26/2021,1732
Saturday,11/27/2021,9103
Sunday,11/28/2021,4788
Monday,11/29/2021,15955
Tuesday,11/30/2021,1565
